Description,Category
Group of men harassing women near School.,Police
"Loud music playing late night at Bus Stand, no action taken.",Police
Garbage not collected for 5 days near School.,Municipal
Auto drivers overcharging passengers near School.,Transport
Water supply disrupted since 7 days in Bus Stand.,Municipal
"Burglary reported at Metro Station, no investigation done.",Police
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Public toilet at Bus Stand is dirty and broken. pls do something asap!,Municipal
Bus stop shelter at Park damaged and unsafe. pls do something asap!,Transport
Heavy vehicles blocking main road near School.,Transport
Water supply disrupted since 14 days in Bus Stand.,Municipal
Public nuisance by drunk people at Market.,Police
"Loud music playing late night at School, no action taken.",Police
"Streetlight not working in Park, unsafe at night.",Municipal
Open manhole causing danger near Hospital.,Municipal
Auto drivers overcharging passengers near Temple.,Transport
Open manhole causing danger near Highway.,Municipal
Illegal hoardings at Park causing obstruction.,Development Authority
Building being constructed without permission near Hospital.,Development Authority
Group of men harassing women near Temple.,Police
Overhead bridge construction delayed near Metro Station.,Public Works Department
Repeated complaints ignored by department. pls do something asap!,CM Office (Miscellaneous)
Illegal hoardings at Colony causing obstruction.,Development Authority
Chain snatching reported yesterday near Bus Stand.,Police
"Theft occurred at Park, no police arrived yet.",Police
Cement road at Hospital cracked within a week of repair.,Public Works Department
Assault reported outside Main Road.,Police
Buses not stopping at Colony despite schedule.,Transport
"streetlight not working in main road, unsafe @ night.",Municipal
Stray dogs attacking people near Colony.,Municipal
Repeated complaints ignored by department.,CM Office (Miscellaneous)
"Road divider missing near Highway, causing accidents.",Transport
Buses not stopping at Market despite schedule.,Transport
footp@h tiles uneven and dangerous n main road.,Public Works Department
Overhead bridge construction delayed near Colony.,Public Works Department
Drainage blocked near Colony causing flooding.,Public Works Department
Encroachment on government land near School.,Development Authority
No sanitation workers seen for a week at School.,Municipal
Heavy vehicles blocking main road near Metro Station.,Transport
Water supply disrupted since 12 days in Colony.,Municipal
public toilet @ colony is dirty and broken.,Municipal
Unauthorized shops set up near Metro Station.,Development Authority
Chain snatching reported yesterday near School.,Police
Footpath tiles uneven and dangerous near Main Road. pls do something asap!,Public Works Department
building being constructed without permission n temple.,Development Authority
Heavy vehicles blocking main road near Main Road.,Transport
street repair left incomplete @ park.,Public Works Department
Road at Highway has deep potholes causing accidents.,Public Works Department
No sanitation workers seen for a week at Bus Stand.,Municipal
Buses not stopping at Highway despite schedule.,Transport
"Loud music playing late night at Metro Station, no action taken.",Police
Cement road at Highway cracked within a week of repair.,Public Works Department
Chain snatching reported yesterday near Highway.,Police
Overhead bridge construction delayed near Metro Station.,Public Works Department
Assault reported outside Metro Station.,Police
Water supply disrupted since 4 days in Park.,Municipal
heavy vehicles blocking main road n market.,Transport
Buses not stopping at Colony despite schedule.,Transport
Footpath tiles uneven and dangerous near Colony.,Public Works Department
auto drivers overcharging passengers n hospital.,Transport
Dumping of debris on open land near Bus Stand.,Development Authority
Garbage not collected for 8 days near School.,Municipal
Assault reported outside Metro Station.,Police
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
"Streetlight not working in Hospital, unsafe at night.",Municipal
"Burglary reported at Metro Station, no investigation done.",Police
"Theft occurred at Highway, no police arrived yet.",Police
Illegal construction at Main Road blocking road access. pls do something asap!,Development Authority
"Burglary reported at Park, no investigation done.",Police
Overhead bridge construction delayed near Metro Station.,Public Works Department
no acknowledgment received fr complaint submitted last week.,CM Office (Miscellaneous)
No sanitation workers seen for a week at Metro Station.,Municipal
Bus stop shelter at Hospital damaged and unsafe.,Transport
chain sn@ching reported yesterday n market. pls do something asap!,Police
Unauthorized shops set up near Highway.,Development Authority
Still waiting for action on request raised 6 days ago.,CM Office (Miscellaneous)
Open manhole causing danger near Market.,Municipal
Illegal construction at Main Road blocking road access.,Development Authority
Grievance No. CM9557 pending without update.,CM Office (Miscellaneous)
bus stop shelter @ colony damaged and unsafe. pls do something asap!,Transport
"Theft occurred at Park, no police arrived yet.",Police
No sanitation workers seen for a week at School.,Municipal
assault reported outside metro st@ion. pls do something asap!,Police
Broken road divider at Highway creating risk for vehicles.,Public Works Department
Stray dogs attacking people near Hospital.,Municipal
Traffic signal malfunctioning near Main Road.,Transport
Building being constructed without permission near School.,Development Authority
Broken road divider at Hospital creating risk for vehicles.,Public Works Department
Traffic signal malfunctioning near School.,Transport
Encroachment on government land near Metro Station.,Development Authority
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
w@er supply disrupted since 8 days in market.,Municipal
Broken road divider at Colony creating risk for vehicles. pls do something asap!,Public Works Department
"streetlight not working in market, unsafe @ night.",Municipal
group of men harassing women n main road.,Police
"Theft occurred at Park, no police arrived yet.",Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Frequent traffic jams near Park. pls do something asap!,Transport
Illegal construction at Market blocking road access. pls do something asap!,Development Authority
"Burglary reported at Hospital, no investigation done. pls do something asap!",Police
Grievance No. CM6031 pending without update.,CM Office (Miscellaneous)
no acknowledgment received fr complaint submitted last week.,CM Office (Miscellaneous)
Stray dogs attacking people near Market.,Municipal
building being constructed without permission n park.,Development Authority
Online complaint portal not working for several days. pls do something asap!,CM Office (Miscellaneous)
suspicious activities happening around temple every night.,Police
Drainage blocked near Colony causing flooding.,Public Works Department
Stray dogs attacking people near Highway.,Municipal
Group of men harassing women near Market.,Police
Footpath tiles uneven and dangerous near Market.,Public Works Department
Water supply disrupted since 9 days in Market.,Municipal
Overhead bridge construction delayed near School.,Public Works Department
No acknowledgment received for complaint submitted last week. pls do something asap!,CM Office (Miscellaneous)
no sanit@ion workers seen fr a week @ colony.,Municipal
public nuisance by drunk people @ highway.,Police
grievance no. cm5547 pending without upd@e.,CM Office (Miscellaneous)
Unauthorized shops set up near Temple.,Development Authority
Suspicious activities happening around Main Road every night.,Police
Illegal hoardings at Colony causing obstruction.,Development Authority
"Burglary reported at Metro Station, no investigation done.",Police
illegal construction @ highway blocking road access.,Development Authority
Broken road divider at Temple creating risk for vehicles.,Public Works Department
Chain snatching reported yesterday near Main Road.,Police
Footpath tiles uneven and dangerous near Bus Stand.,Public Works Department
Newly constructed footpath at Colony already broken.,Public Works Department
Buses not stopping at Highway despite schedule.,Transport
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
"theft occurred @ school, no police arrived yet.",Police
Buses not stopping at Bus Stand despite schedule.,Transport
"Burglary reported at Main Road, no investigation done.",Police
Public nuisance by drunk people at Bus Stand.,Police
"Road divider missing near Temple, causing accidents.",Transport
Overhead bridge construction delayed near Main Road.,Public Works Department
officials not responding to grievance @ highway.,CM Office (Miscellaneous)
Dumping of debris on open land near Park.,Development Authority
"Road divider missing near Highway, causing accidents.",Transport
group of men harassing women n highway.,Police
Broken road divider at School creating risk for vehicles. pls do something asap!,Public Works Department
Assault reported outside Highway.,Police
Buses not stopping at Colony despite schedule.,Transport
Traffic signal malfunctioning near School. pls do something asap!,Transport
w@er supply disrupted since 5 days in park.,Municipal
Bus stop shelter at Market damaged and unsafe.,Transport
Illegal construction at School blocking road access.,Development Authority
Cement road at Main Road cracked within a week of repair.,Public Works Department
"Drainage overflow at Colony, foul smell everywhere.",Municipal
Department staff being rude and unhelpful. pls do something asap!,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Auto drivers overcharging passengers near Highway.,Transport
Building being constructed without permission near Bus Stand.,Development Authority
"Theft occurred at Highway, no police arrived yet.",Police
newly constructed footp@h @ market already broken.,Public Works Department
Suspicious activities happening around Highway every night.,Police
Grievance No. CM9673 pending without update.,CM Office (Miscellaneous)
Bus stop shelter at Park damaged and unsafe.,Transport
Water supply disrupted since 10 days in Temple.,Municipal
Cement road at Highway cracked within a week of repair.,Public Works Department
chain sn@ching reported yesterday n park.,Police
Auto drivers overcharging passengers near Colony. pls do something asap!,Transport
grievance no. cm8331 pending without upd@e.,CM Office (Miscellaneous)
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Officials not responding to grievance at Metro Station.,CM Office (Miscellaneous)
Assault reported outside Main Road.,Police
Still waiting for action on request raised 2 days ago.,CM Office (Miscellaneous)
buses not stopping @ school despite schedule.,Transport
auto drivers overcharging passengers n bus stand.,Transport
Drainage blocked near Highway causing flooding.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Plot boundaries changed illegally near Main Road.,Development Authority
Footpath tiles uneven and dangerous near Colony.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Overhead bridge construction delayed near Hospital.,Public Works Department
Open manhole causing danger near Park.,Municipal
"Burglary reported at Colony, no investigation done.",Police
Overhead bridge construction delayed near Colony.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Road at School has deep potholes causing accidents.,Public Works Department
Land dispute reported at Temple. pls do something asap!,Development Authority
Drainage blocked near Market causing flooding.,Public Works Department
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Cement road at Main Road cracked within a week of repair.,Public Works Department
encroachment on government land n highway.,Development Authority
Footpath tiles uneven and dangerous near Temple.,Public Works Department
Bus stop shelter at Park damaged and unsafe. pls do something asap!,Transport
"Loud music playing late night at Bus Stand, no action taken.",Police
Frequent traffic jams near School.,Transport
Auto drivers overcharging passengers near Highway.,Transport
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Illegal hoardings at Market causing obstruction.,Development Authority
Building being constructed without permission near Market.,Development Authority
"Drainage overflow at Highway, foul smell everywhere.",Municipal
"Burglary reported at Main Road, no investigation done.",Police
"Loud music playing late night at Main Road, no action taken.",Police
Stray dogs attacking people near Bus Stand.,Municipal
Stray dogs attacking people near School.,Municipal
Chain snatching reported yesterday near Colony.,Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Drainage blocked near Temple causing flooding.,Public Works Department
online complaint portal not working fr several days. pls do something asap!,CM Office (Miscellaneous)
Cement road at Highway cracked within a week of repair.,Public Works Department
Building being constructed without permission near Hospital.,Development Authority
Encroachment on government land near Bus Stand.,Development Authority
Frequent traffic jams near Market. pls do something asap!,Transport
Open manhole causing danger near Market.,Municipal
Open manhole causing danger near Metro Station.,Municipal
Road at Market has deep potholes causing accidents.,Public Works Department
Overhead bridge construction delayed near Metro Station. pls do something asap!,Public Works Department
Cement road at School cracked within a week of repair.,Public Works Department
street repair left incomplete @ main road.,Public Works Department
Auto drivers overcharging passengers near Park.,Transport
Illegal construction at Park blocking road access.,Development Authority
Drainage blocked near Colony causing flooding.,Public Works Department
Cement road at Highway cracked within a week of repair.,Public Works Department
Auto drivers overcharging passengers near Main Road.,Transport
Assault reported outside Colony.,Police
Plot boundaries changed illegally near Temple.,Development Authority
encroachment on government land n hospital.,Development Authority
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Building being constructed without permission near Main Road.,Development Authority
Cement road at Metro Station cracked within a week of repair.,Public Works Department
