Description,Category
Accidents happening due to no speed breakers at temple. request urgent action.,Transport
Building without proper permission in Sector 12. situation getting worse.,Development Authority
Broken divider near community hall causing jams.,Transport
Public dustbins overflowing and not cleaned. needs immediate attention.,Municipal
Pedestrian crossing signal not working at temple. facing issues since last week.,Transport
Land encroachment by private party near temple.,Development Authority
Waste dumped on roadside in Green Park. please resolve soon.,Municipal
Culvert repair pending at New Town. facing issues since last week.,Public Works Department
Illegal construction happening on 2nd street. please resolve soon.,Development Authority
Flyover construction delay leading to congestion. facing issues since last week.,Transport
There is frequent eve teasing near the market area. please resolve soon.,Police
Poor road markings making driving difficult. request urgent action.,Transport
No proper communication from officials on issue raised. facing issues since last week.,CM Office (Miscellaneous)
No proper communication from officials on issue raised. request urgent action.,CM Office (Miscellaneous)
Road full of potholes at market area. needs immediate attention.,Public Works Department
Streetlights not working since last week in MG Road. please resolve soon.,Municipal
Robbery incident reported near main road. facing issues since last week.,Police
Illegal gambling happening behind petrol bunk. please resolve soon.,Police
Unauthorized shops operating near signal point. needs immediate attention.,Development Authority
There is frequent eve teasing near the market area. kindly look into this.,Police
Citizen grievance unresolved despite repeated attempts. request urgent action.,CM Office (Miscellaneous)
Public dustbins overflowing and not cleaned. kindly look into this.,Municipal
"Footpath broken near Downtown, pedestrians facing issues. request urgent action.",Public Works Department
Delay in pension disbursement for seniors. please resolve soon.,CM Office (Miscellaneous)
People fighting daily at the school. needs immediate attention.,Police
Building without proper permission in XYZ Nagar. facing issues since last week.,Development Authority
New road construction delayed at MG Road. situation getting worse.,Public Works Department
Public dustbins overflowing and not cleaned. needs immediate attention.,Municipal
Robbery incident reported near railway station. request urgent action.,Police
Complaint regarding layout approval delay. needs immediate attention.,Development Authority
"Street damaged after rain, vehicles skidding. please resolve soon.",Public Works Department
Flyover joints damaged and causing vehicle imbalance. situation getting worse.,Public Works Department
Autos refusing passengers in Downtown. facing issues since last week.,Transport
Bus shelter at ABC Colony broken and unsafe. kindly look into this.,Transport
Online complaint portal not working for days. request urgent action.,CM Office (Miscellaneous)
Water stagnation near temple due to poor drainage.,Public Works Department
Robbery incident reported near park.,Police
Government office not responding to complaints. please resolve soon.,CM Office (Miscellaneous)
People blocking roads with illegal sheds. facing issues since last week.,Development Authority
Fogging not done properly leading to mosquito menace.,Municipal
Illegal gambling happening behind community hall. situation getting worse.,Police
Bus route 53 not running on time for several days.,Transport
"Unfair practices in local department reported, please look into it. facing issues since last week.",CM Office (Miscellaneous)
Uneven road surface leading to traffic problems. request urgent action.,Public Works Department
Autos refusing passengers in MG Road. request urgent action.,Transport
Stormwater drain collapsed near bus depot. kindly look into this.,Public Works Department
Water leakage near 1st cross. situation getting worse.,Municipal
Uneven road surface leading to traffic problems. needs immediate attention.,Public Works Department
Citizen grievance unresolved despite repeated attempts. facing issues since last week.,CM Office (Miscellaneous)
Road full of potholes at temple.,Public Works Department
Application not processed even after multiple visits. kindly look into this.,CM Office (Miscellaneous)
Delay in pension disbursement for seniors. please resolve soon.,CM Office (Miscellaneous)
Waste dumped on roadside in Green Park. request urgent action.,Municipal
Chain snatching reported near bus depot. Please take action. needs immediate attention.,Police
Land encroachment by private party near bus stop. kindly look into this.,Development Authority
Bus route 53 not running on time for several days. please resolve soon.,Transport
No proper communication from officials on issue raised. request urgent action.,CM Office (Miscellaneous)
Unhygienic conditions near market in Green Park.,Municipal
Waste dumped on roadside in Lakeview. situation getting worse.,Municipal
Illegal construction happening on 1st cross. needs immediate attention.,Development Authority
Corruption complaint ignored by local officer.,CM Office (Miscellaneous)
Stormwater drain collapsed near signal point. facing issues since last week.,Public Works Department
Drainage overflow causing bad smell near market area. kindly look into this.,Municipal
Illegal gambling happening behind community hall. facing issues since last week.,Police
Water leakage near ring road. facing issues since last week.,Municipal
Women feel unsafe walking home after 7 PM. request urgent action.,Police
Road full of potholes at railway station. request urgent action.,Public Works Department
Signal at city mall not functioning properly causing accidents. kindly look into this.,Transport
Culvert repair pending at Airport Road. kindly look into this.,Public Works Department
Road full of potholes at temple. needs immediate attention.,Public Works Department
Flyover construction delay leading to congestion. please resolve soon.,Transport
Illegal gambling happening behind signal point. situation getting worse.,Police
